seed	variant_score	baseline_score	delta_variant_minus_baseline
2197	58.059217517710	58.059217517710	+0.000000000000
2190	189.839121383023	189.839121383023	+0.000000000000
2186	86.441416790352	86.441416790352	+0.000000000000
2175	290.495091003320	290.495091003320	+0.000000000000
2174	89.488923764859	89.488923764859	+0.000000000000
2171	33.451702983426	33.451702983426	+0.000000000000
2170	126.864263039349	126.864263039349	+0.000000000000
2169	199.368019509322	199.368019509322	+0.000000000000
2166	32.834243446400	32.834243446400	+0.000000000000
2161	127.041442929660	127.041442929660	+0.000000000000
2159	35.670692034330	35.670692034330	+0.000000000000
2157	75.009334774164	75.009334774164	+0.000000000000
2155	263.460951326301	263.460951326301	+0.000000000000
2152	127.453495156435	127.453495156435	+0.000000000000
2149	172.038217447842	172.038217447842	+0.000000000000
2124	126.252919380976	126.252919380976	+0.000000000000
2122	93.840289731960	93.840289731960	+0.000000000000
2119	252.812481619622	252.812481619622	+0.000000000000
2110	176.834771324400	176.834771324400	+0.000000000000
2105	101.413220789068	101.413220789068	+0.000000000000
2104	275.145588016154	275.145588016154	+0.000000000000
2099	119.657998453652	119.657998453652	+0.000000000000
2097	96.034263596649	96.034263596649	+0.000000000000
2086	169.078448617458	169.078448617458	+0.000000000000
2085	254.899161116368	254.899161116368	+0.000000000000
2083	395.446698718962	395.446698718962	+0.000000000000
2082	94.157996112725	94.157996112725	+0.000000000000
2075	106.360940120037	106.360940120037	+0.000000000000
2074	282.953636749230	282.953636749230	+0.000000000000
2073	80.641583496912	80.641583496912	+0.000000000000
2071	250.995967607824	250.995967607824	+0.000000000000
2066	38.396114129788	38.396114129788	+0.000000000000
2060	317.271480398330	317.271480398330	+0.000000000000
2056	43.575095093845	43.575095093845	+0.000000000000
2053	48.407608258476	48.407608258476	+0.000000000000
2038	397.883321627402	397.883321627402	+0.000000000000
2033	128.180189819052	128.180189819052	+0.000000000000
2026	293.297283153208	293.297283153208	+0.000000000000
2025	215.598029092651	215.598029092651	+0.000000000000
2019	304.389259635060	304.389259635060	+0.000000000000
2016	39.819208210192	39.819208210192	+0.000000000000
2009	79.154912490480	79.154912490480	+0.000000000000
2007	52.002634451888	52.002634451888	+0.000000000000
2004	55.489385404400	55.489385404400	+0.000000000000
2001	67.061517546696	67.061517546696	+0.000000000000
1999	45.299289768298	45.299289768298	+0.000000000000
1983	46.795577169923	46.795577169923	+0.000000000000
1981	51.394532996942	51.394532996942	+0.000000000000
1977	145.469459534166	145.469459534166	+0.000000000000
1976	67.952601952574	67.952601952574	+0.000000000000
1974	133.467340298502	133.467340298502	+0.000000000000
1964	396.318344617893	396.318344617893	+0.000000000000
1956	196.003929578546	196.003929578546	+0.000000000000
1950	51.991049171563	51.991049171563	+0.000000000000
1949	164.601897297247	164.601897297247	+0.000000000000
1937	324.584513155652	324.584513155652	+0.000000000000
1935	56.581763569165	56.581763569165	+0.000000000000
1934	50.976799688723	50.976799688723	+0.000000000000
1933	144.659385473741	144.659385473741	+0.000000000000
1932	108.986747213193	108.986747213193	+0.000000000000
1925	258.265373561973	258.265373561973	+0.000000000000
1917	129.516599116743	129.516599116743	+0.000000000000
1910	52.545088936920	52.545088936920	+0.000000000000
1908	172.942500765422	172.942500765422	+0.000000000000
1905	280.651301357697	280.651301357697	+0.000000000000
1901	328.638190673991	328.638190673991	+0.000000000000
1900	92.752748685061	92.752748685061	+0.000000000000
1899	99.697861165792	99.697861165792	+0.000000000000
1896	160.371071641910	160.371071641910	+0.000000000000
1895	379.614890348458	379.614890348458	+0.000000000000
1893	319.592526623823	319.592526623823	+0.000000000000
1880	211.947726575893	211.947726575893	+0.000000000000
1879	46.171573088175	46.171573088175	+0.000000000000
1874	142.713951021189	142.713951021189	+0.000000000000
1868	245.739434367049	245.739434367049	+0.000000000000
1867	122.235982695754	122.235982695754	+0.000000000000
1864	221.783389664907	221.783389664907	+0.000000000000
1861	53.731567424291	53.731567424291	+0.000000000000
1857	53.974723811319	53.974723811319	+0.000000000000
1851	199.023744949625	199.023744949625	+0.000000000000
1848	180.516125405608	180.516125405608	+0.000000000000
1846	169.169591858257	169.169591858257	+0.000000000000
1840	59.690535661781	59.690535661781	+0.000000000000
1830	34.624684411416	34.624684411416	+0.000000000000
1826	191.121971287043	191.121971287043	+0.000000000000
1809	175.549490051701	175.549490051701	+0.000000000000
1806	83.253637367466	83.253637367466	+0.000000000000
1805	112.295242357693	112.295242357693	+0.000000000000
1795	306.875606361582	306.875606361582	+0.000000000000
1789	147.843658253974	147.843658253974	+0.000000000000
1785	317.428317452527	317.428317452527	+0.000000000000
1783	111.617072293980	111.617072293980	+0.000000000000
1778	233.206492245387	233.206492245387	+0.000000000000
1776	31.982237758756	31.982237758756	+0.000000000000
1774	302.846232156466	302.846232156466	+0.000000000000
1771	70.104624879619	70.104624879619	+0.000000000000
1768	276.916774888047	276.916774888047	+0.000000000000
1764	299.188389106484	299.188389106484	+0.000000000000
1759	248.502066987943	248.502066987943	+0.000000000000
1755	305.568702153342	305.568702153342	+0.000000000000
1752	60.226692371414	60.226692371414	+0.000000000000
1746	233.132574474202	233.132574474202	+0.000000000000
1737	54.816696369115	54.816696369115	+0.000000000000
1733	75.861810418036	75.861810418036	+0.000000000000
1732	124.195893461593	124.195893461593	+0.000000000000
1716	103.788084927627	103.788084927627	+0.000000000000
1715	142.976239160728	142.976239160728	+0.000000000000
1713	118.136255093060	118.136255093060	+0.000000000000
1712	374.435547475987	374.435547475987	+0.000000000000
1711	212.415184152543	212.415184152543	+0.000000000000
1699	187.188603938349	187.188603938349	+0.000000000000
1692	131.924244007455	131.924244007455	+0.000000000000
1680	120.906061077981	120.906061077981	+0.000000000000
1678	152.902515512472	152.902515512472	+0.000000000000
1677	200.067891170084	200.067891170084	+0.000000000000
1676	50.918476982316	50.918476982316	+0.000000000000
1675	143.541350502237	143.541350502237	+0.000000000000
1673	242.070276985937	242.070276985937	+0.000000000000
1671	147.906901654392	147.906901654392	+0.000000000000
1661	31.742056811596	31.742056811596	+0.000000000000
1660	224.293398169459	224.293398169459	+0.000000000000
1659	165.689244036132	165.689244036132	+0.000000000000
1653	328.504979024387	328.504979024387	+0.000000000000
1646	145.187024685687	145.187024685687	+0.000000000000
1644	120.049718479367	120.049718479367	+0.000000000000
1636	35.681366742420	35.681366742420	+0.000000000000
1632	138.029992853775	138.029992853775	+0.000000000000
1622	102.609961190005	102.609961190005	+0.000000000000
1620	315.786589908866	315.786589908866	+0.000000000000
1614	171.494154856059	171.494154856059	+0.000000000000
1613	249.340471873045	249.340471873045	+0.000000000000
1612	84.938166291216	84.938166291216	+0.000000000000
1610	53.120343019291	53.120343019291	+0.000000000000
1609	161.452932038018	161.452932038018	+0.000000000000
1607	187.185756510877	187.185756510877	+0.000000000000
1603	269.556206890251	269.556206890251	+0.000000000000
1597	267.445947240327	267.445947240327	+0.000000000000
1588	182.921259180359	182.921259180359	+0.000000000000
1582	36.134399419346	36.134399419346	+0.000000000000
1581	184.903974096133	184.903974096133	+0.000000000000
1578	126.290684118360	126.290684118360	+0.000000000000
1574	136.632666788546	136.632666788546	+0.000000000000
1568	133.537025644849	133.537025644849	+0.000000000000
1567	143.512755555298	143.512755555298	+0.000000000000
1565	223.270178208945	223.270178208945	+0.000000000000
1562	45.441392186774	45.441392186774	+0.000000000000
1561	277.073836780169	277.073836780169	+0.000000000000
1558	105.263015312311	105.263015312311	+0.000000000000
1553	82.882437990188	82.882437990188	+0.000000000000
1552	42.503789033224	42.503789033224	+0.000000000000
1551	162.855693220454	162.855693220454	+0.000000000000
1550	203.414771046604	203.414771046604	+0.000000000000
1543	201.634139972755	201.634139972755	+0.000000000000
1542	165.643234407009	165.643234407009	+0.000000000000
1541	147.847036507851	147.847036507851	+0.000000000000
1524	108.758935430756	108.758935430756	+0.000000000000
1522	219.715798452465	219.715798452465	+0.000000000000
1517	158.153411177587	158.153411177587	+0.000000000000
1510	110.383980447128	110.383980447128	+0.000000000000
1504	53.550422154718	53.550422154718	+0.000000000000
1503	292.546605268709	292.546605268709	+0.000000000000
1500	162.714864649210	162.714864649210	+0.000000000000
1496	57.610448592422	57.610448592422	+0.000000000000
1495	280.713504061541	280.713504061541	+0.000000000000
1488	46.115464015313	46.115464015313	+0.000000000000
